Code UAI de l'établissement,Établissement,"Statut de l’établissement de la filière de formation (public, privé…)",Département de l’établissement,Région de l’établissement,Commune de l’établissement,Coordonnées GPS de la formation,Filière de formation,Filière de formation très agrégée,Filière de formation détaillée bis,Capacité de l’établissement par formation,Effectif total des candidats en phase principale,Rang du dernier appelé du groupe 1,f_ratio_candidats,f_ratio_admis,f_selectivity_candidats,b_ratio_candidats,b_ratio_admis,b_selectivity_candidats,gen_candidats_ratio,tech_candidats_ratio,prof_candidats_ratio,gen_admis_ratio,tech_admis_ratio,prof_admis_ratio,gen_selectivity_candidats,tech_selectivity_candidats,prof_selectivity_candidats,sans_mention_ratio,assez_bien_mention_ratio,bien_mention_ratio,tres_bien_mention_ratio,tres_bien_avec_felicitation_mention_ratio,meme_academie_ratio,meme_etablissement_ratio,last_call_rank_ratio,pressure_ratio,taux_acces_ratio,longitude,latitude,cluster
0220058U,Lycée Chaptal,Public,Côtes-d'Armor,Bretagne,Saint-Brieuc,"48.5126, -2.73539",CPGE - TSI,CPGE,TSI,0.0,-0.475251677852349,-0.3850847457627118,-1.2001484114141907,-0.7567567567567568,1.1959999295859982,0.6938781023923687,1.5384615384615383,-0.9221420907010384,-1.7529821709252271,166.5021154763166,0.0,-1.0,1.0,0.0,0.0,-0.3231850117096019,0.0,0.375,0.9333333333333332,-0.3883495145631067,-0.1714285714285714,0.75,0.7894736842105264,-0.2352941176470588,0.2890210019204636,1.4255938033866034,0.3300000000000001,0.1470219153199246,-1.51025090858727,0
0290063L,Lycée Naval,Public,Finistère,Bretagne,Brest,"48.3692, -4.52549",CPGE - PCSI,CPGE,PCSI,-0.6086956521739131,-0.1891778523489933,-0.5450847457627118,-0.934594325502357,-0.3513513513513513,-0.3297704314417666,-0.659845754607694,0.0769230769230768,-0.85477455504527,0.4206192373164988,-0.1433680910427074,0.0,0.0,0.0,0.0,0.4844136015781061,0.0,0.0,0.0,-0.6333333333333332,0.1941747572815535,0.8857142857142859,0.0,-1.1315789473684208,0.4705882352941176,-0.7906171050390981,-0.1014214558432807,-0.7900000000000001,0.107254033292429,-2.0274231524404653,0
9720350Y,Lycée Frantz Fanon,Public,Martinique,Martinique,La Trinité,"14.7296, -60.9656","CPGE - ECT - Option technologique - (en 3 ans, destinée aux bacs professionnels)",CPGE,ECT - Option technologique,-0.8695652173913043,-0.8141778523489933,-0.9681355932203388,1.5442629658500184,0.4594594594594596,0.7587817343746622,15.392542087475524,4.923076923076923,0.5310652967324943,-1.7529821709252271,-0.4645852064168748,1626.368530020704,-1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.8666666666666665,-1.1262135922330097,-0.6571428571428573,0.0,0.4736842105263159,-0.4705882352941176,-1.9551271232522087,24.47742803833933,0.7500000000000001,-8.795968024848003,-2.0274231524404653,0
0310036W,Lycée Pierre De Fermat,Public,Haute-Garonne,Occitanie,Toulouse,"43.6033, 1.43927",CPGE - BCPST,CPGE,BCPST,2.1739130434782608,1.3703859060402686,1.1308474576271186,1.146820569328226,0.6756756756756757,0.0740758766383578,0.2295797000295198,-0.0769230769230768,0.1565238549184538,0.2695842862878612,0.9440258210328428,1.8572918119764412,0.0,0.0,0.0,0.2598055650282876,0.0,0.0,0.0,-0.5999999999999999,-0.233009708737864,0.7714285714285716,3.5000000000000004,-0.5789473684210525,-0.2352941176470588,-0.4803336710040572,-0.2000959833285105,-0.6700000000000002,-1.2144318032127712,-0.2734731030764207,0
0310038Y,Lycée BELLEVUE,Public,Haute-Garonne,Occitanie,Toulouse,"43.5616, 1.46017",CPGE - MPSI,CPGE,MPSI,0.1304347826086956,1.9198825503355703,0.8325423728813559,-0.571189118689163,-0.2972972972972972,0.1588087247530565,0.5507747090447346,-0.1538461538461538,0.6991475103331588,0.3085474752018852,-0.3142532474849061,0.9910838086658768,0.0,0.0,0.0,0.3177487450677159,0.0,0.0,0.0,-0.6333333333333332,-0.8543689320388348,1.5428571428571431,1.0,0.631578947368421,0.0,-0.7823307589665931,-0.7059012963986353,-0.8500000000000001,-1.2259961036349916,-0.2672813039514195,0
0330021U,Lycée Montaigne,Public,Gironde,Nouvelle Aquitaine,Bordeaux,"44.8335, -0.57306",CPGE - MPSI,CPGE,MPSI,2.1739130434782608,2.321728187919463,-0.0108474576271186,-0.6682847193973865,-0.4054054054054055,0.3735779945916969,0.1833140442264053,0.2307692307692308,-0.3906677106618547,0.4237237026954644,-0.2022137683872438,0.8648596277695847,0.0,0.0,0.0,0.4890303334574322,0.0,0.0,0.0,-0.5999999999999999,-0.9708737864077668,1.1142857142857143,5.0,0.1578947368421054,-0.392156862745098,-1.2819387021125157,-0.4561652269745583,-1.0500000000000005,-0.8732710746895737,-0.8696426309813631,1
0330028B,Lycée Gustave Eiffel,Public,Gironde,Nouvelle Aquitaine,Bordeaux,"44.8289, -0.56441",CPGE - PTSI,CPGE,PTSI,2.217391304347826,0.2000838926174496,0.3959322033898305,-1.0107484085933576,-0.5945945945945946,0.5000412816233749,-0.3972494211546661,-0.4615384615384615,0.7589103381661816,0.1016111924567489,1.337567960357675,0.0,0.0,0.0,0.0,0.0100083721159598,0.0,0.0,0.125,-0.4666666666666666,0.6990291262135921,0.2857142857142857,0.25,0.3157894736842105,0.7843137254901961,-0.1397185194343716,0.780603307582145,-0.39,-0.8745467529136084,-0.8670799964152742,0
0560181T,Lycée St Joseph - LaSalle Lorient,Privé sous contrat d'association,Morbihan,Bretagne,Lorient,"47.749, -3.39277",CPGE - TSI,CPGE,TSI,0.0,-0.6128355704697986,-0.6210169491525424,-1.3066430767616797,-0.7567567567567568,0.7261568537447205,-0.0789729016168905,-0.3076923076923076,0.5071980470048916,-1.7529821709252271,205.89603765905585,0.0,-1.0,1.0,0.0,0.0,-0.1634980988593155,0.0,0.25,0.6333333333333332,0.0388349514563107,-0.1428571428571429,0.0,0.6842105263157895,0.7843137254901961,0.0852006957310664,2.9689170694993128,0.07,-0.0647406698697268,-1.7050052104434026,0
0590258K,Lycée Gaston Berger,Public,Nord,Hauts-de-France,Lille,"50.6134, 3.0784",CPGE - ENS Cachan D2,CPGE,ENS Cachan D2,0.1304347826086956,0.2084731543624161,0.1627118644067796,0.3101244603384958,0.1351351351351351,0.23391113675517,-0.8106823866594272,-0.8461538461538461,0.4402809852686186,-0.7697150581720978,0.5285498362858648,0.0,0.0,0.0,0.0,-1.2857637456301674,0.0,0.0,1.125,1.1,-0.932038834951456,-0.0285714285714286,0.0,-0.8157894736842104,-0.4705882352941176,-0.2788194047268133,-0.1417502509239793,0.3500000000000001,0.7296186138092164,0.212132815572523,0
0670086E,Lycée des métiers René Cassin,Public,Bas-Rhin,Grand-Est,Strasbourg,"48.5826, 7.77046","CPGE - ECT - Option technologique - (en 3 ans, destinée aux bacs professionnels)",CPGE,ECT - Option technologique,-0.9130434782608696,-0.7437080536912751,-0.8271186440677966,-0.1772637923963915,-0.1891891891891892,0.4479002441238462,7.507261285309716,2.846153846153846,0.181715387898375,-1.7529821709252271,-0.4645852064168748,1428.7723534761324,-1.0,0.0,1.0,0.0,0.0,-0.1214953271028037,1.0,1.1,-0.6601941747572815,-0.2,0.0,0.368421052631579,0.7843137254901961,0.391641016974241,4.2182162043691305,-0.05,0.1664344100334863,1.5968975827542102,0
